"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Early-demographic dividend","EAR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8519482","10440531","12320121","12643737","15482035","14222605","15966803","17877991","18917858","17612765","20880530","19209150","13530351","11963598","14205450","13498396","14456492","13263120","15011515","15712843","15215091","15698813.6","16684659.6","14992412.639","17547780.416","19303851.11","21292550.121","21243183.47","23989644.57","24430813.21","24507173.73","25286803.88","27071784.42","29660481.42","33331217.12","31594609.26","32880451.6","31956485.53","28273770.14","33634570.97","36593285.63","35395402.26","36861614.74","35307664.82","40323834.07","41830913.89","41398623.96","42783507.48","45065743.3","45832768.28","46249216.17","51782136.744","51838475.86","56818881.56","57443525.702","60772679.145","61830920.54","","","",
"East Asia & Pacific","EAS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","12981256","13931486","14473270","14715150","14851546","15936541","16780445","17983386","19516980","19875317","20721041","22428657","23946987","25087337","25724061","26075891","26922611","28548967","29131292","28571653","29429953","30838866","31777656.8","33545662.99","35527428.74","36383463.506","39828591.194","41762016.31","43438310.27","44398677.19","44392597.12","45171925.96","48980868.81","53048077.558","57340249.58","61832902.849","65401112.13","66269640.95","68223672.55","71053911.91","72818958.12","74437978.28","76998043.57","80432878.38","84141192.83","87521913.97","91007159.86","94614735.69","96845928.74","100579490.03","105739385.04","110032656.384","116630653.151","123545507.056","128030866.071","132039514.299","135112820.841","","","",
"Europe & Central Asia (excluding high income)","ECA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","137160","131380","106000","177020","171850","197344","185364","286610","241954","307050","339251","341836","378793","359052","385930","425739","456361","462633","490925","625096","736018","779782","865988","932852","925190.1","930041.1","975431.1","1017155.4","10780392.8","10447473.7","9545559.7","8449926","6885253.2","5614680","4896276","5655252.3","5873429.7","5759599.8","5691413.5","5444933.9","5235346","4767334.2","4383742.6","4385977.7","4081802.9","4295518","4444114.15","4795109.2","4632051.72","5028768.78","5300605.97","5486408.4","5497458.05","5566020.99","5356946.58","5679665.65","5909504.55","","","",
"Europe & Central Asia","ECS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8084512","8506855","8667075","9093112","9876580","11108880","11775798","12359303","12201964","11675665","12398897","12529932","12770984","13047879","13220626","13056122","14019326","14002847","13324996.7","13218917.7","13420184.4","13579974.2","13197912.1","13709426.171","14095956.1","13929956.6","13752120.488","13834708","25288252.6","24480140.9","22388242.7","21366716.6","20408509.08","18983099.67","18478239.31","20004084.25","20254041.3","20735367.49","20092024.18","19419071.99","19501890.34","19217280.12","18638354.14","17908423.64","17375719.42","17142616.49","16899797.749","17164486.284","16682414.714","17091534.289","17635211.72","17290176.389","17073559.991","17519801.966","17895887.19","18404107.852","17977913.889","","","",
"Ecuador","ECU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","44300","38600","42500","49700","46300","53500","48200","57500","68900","64900","91020","102580","107040","152078","176500","215789","282793","425506","614512","605275","639542","539294","607927","372429","883405","1087676","1004271","680134","876024","682793","366643","437670","343511","374396","419344","614795","811854","671384","468138","629607","657800","645357","396805","494804","465447","602949","638648","579946","678593","717942","672394.8","815931","834763","845529","1030563","1069691","1166585","","","",
"Egypt, Arab Rep.","EGY","Total fisheries production (metric tons)","ER.FSH.PROD.MT","88500","92000","118000","115000","135000","102400","99000","80300","80500","80000","76758","84268","79209","87514","98344","106574","102764","104541","99915","137481","140397","141715.6","155732.6","157306.4","163839.5","215955.8","229154","231112.9","284328.8","293605.8","312952","346048","346296.8","354040.7","368204.6","407116.5","431572.4","457037.2","545594","648942","724408","771498","801459","876305","865030","889302","970925","1008008","1067631","1092889","1304795","1362175","1371976","1454402","1481883","1518944","1706274","","","",
"Euro area","EMU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3739271","3879934","3912547","4106339","4353357","4542945","4573953","4799127","4988743","4798191","4882357","4741552","4769804","4955491","4969241","4850306","4692406","4445984","4473231.7","4232441.7","4393862.4","4624268.2","4758353.1","4736872.171","4838446","4917893.5","4960921.388","4962693.6","6360912.8","6232188.2","5819968","5745246.6","5039566.8","5076656.4","5056158.3","5323760.9","5203094.6","5154803.2","5315583.6","5228944.9","5069782.1","5192094.8","4829772","4877634.9","4771263.4","4772451.4","4823979.469","4683841.454","4464931.914","4419294.659","4497701.94","4318808.953","4020756.958","4113322.906","4404395.33","4190658.402","4288607.176","","","",
"Eritrea","ERI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","475","2706","3559","3252","1038","1852.9","6997.05","12724","8912","7894","6731","7414","4027","8813","2232","1965","3330","3586","2939","4452","4300","4300","4300","4300","","","",
"Spain","ESP","Total fisheries production (metric tons)","ER.FSH.PROD.MT","913401","978920","1050006","1057655","1133309","1255355","1269534","1360394","1524502","1481900","1582266","1521038","1569839","1598054","1603741","1604441","1605359","1531484","1548919","1360031","1375642","1396654","1465325","1408216","1441852","1489515","1502395","1539933","1598886","1530991","1334995","1303615","1260681","1226033","1286760","1419688","1421196","1459464","1570775","1509504","1372404","1399888","1138640","1157665","1105578","1074617","1254865","1102039","1173161","1199111","1227826","1281802","1192338","1212424","1345895","1265453","1198968","","","",
"Estonia","EST","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397782","375454","346083","329213","129689","147515","124508","132891","108992","126317","121854","113312","113572","105959","102622","80580","88877","100136","87587","100216","103393","99157.6","96373.04","81783.34","67335.4","70463.21","69154.47","74410.7","76798.73","","","",
"Ethiopia","ETH","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8300","8600","9100","9600","12000","15900","16200","16200","14600","14400","17200","19100","14800","4700","5900","3930","2970","2472","2515","2800","3507","3828","3750","3900","4300","4000","4100","4000","4067","4269","4981","4262","4607","4203","5318","6380","8808","10394","14014","15873","15696","15405","12315","9228","10030","9475","9915","13279","16795","17072","18083","24066","28990","38416.3","50204.5","45609.5","45595","","","",
"European Union","EUU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","5824782","5991810","6240891","6596622","6972047","7250522","7308995","7773031","8429492","8071979","8220337","8292768","8369423","8645033","9140179","9016263","9020151","8502319","8375566.7","8061811.7","8527909.4","8583178.2","8863408.1","8868781.171","8917393","8909099.5","8948168.388","8923168.6","10612519.8","10262811.2","9112796","9305462.6","8922800.88","8554784.67","8917098.31","9386623.95","8766433.6","8886222.69","8772568.68","8401654.09","8252764.34","8366968.92","7875291.54","7389425.94","7378489.52","7135317.49","7109797.599","6724332.084","6524059.994","6640221.449","6761198.49","6452088.063","5942224.758","6274691.496","6757612.64","6658750.302","6556679.796","","","",
"Fragile and conflict affected situations","FCS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","732410","733127","755657","760097","792447","824831","856049","877541","961716","1011421","1033908","1051908","1058116","1127192","1096654","1108459","1208280","1184897","1240600","1303347","1344076","1322019","1234623","1269903.239","1353174.916","1433653.71","1531129.321","1548130.77","1550474.97","1623352.69","1637331.35","1650073.78","1696987.71","1742195.72","1741423.62","1894234.06","1742001.5","1937369.93","2017719.04","2170417.52","2450015.73","2615888.76","2837229.44","3114246.32","3611836.77","3828575.94","4038951.46","4115993.48","4127962.04","4368177.06","4570948.36","4575332.66","4811410.77","4844808.18","5032668.32","5061017.69","5334241.36","","","",
"Finland","FIN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","65500","67000","64900","80500","62900","73250","70990","74090","92800","87300","81699","91401","89003","100000","111778","111336","119459","117831","139166","133672","164900","155094","163952","175193","178894","179188","167430","166189","175631","165108","151535","138591","169662","173823","180951","184830","196738","196526","187713","176017","171828","165716","157434","134432","148243","146088","162337","177702","162105","168253","167869","164977","174969","181389","196409","197730","206477.2","","","",
"Fiji","FJI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3000","3000","3000","3200","3400","3500","3500","3500","3800","3800","3900","3900","4700","4700","4800","5036","5589","7935","9250","20243","20404","23608","24931","24227","25639","26870","35100.4","38670.5","34209","35520.3","39528.77","33011.38","27687.1","30646.03","30300","30507","26877","30086","33075.61","56066.02","49357","50033","41526","37631.8","50194.16","47951.5","50351","48077","47483","47057.03","42710.5","46805","45090","41500","44507","42307","45417","","","",
"France","FRA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","762676","791620","761211","799299","807550","856899","902398","925307","938596","855694","858902","846574","854245","892060","884204","879330","861687","837277","860788.3","838058.3","859149.9","873521.9","860781.6","884173.5","870403.5","922169.4","960355.6","926785.5","968697.1","944719.4","955874.8","902400.5","918553.5","957508.5","984874.6","969245.3","928743.9","929721.5","878266.5","921896.8","961254.6","923560.7","953683","948639.7","907065.2","843407.8","832528.9","791136.7","738411.4","674199.3","655646.5","695743.2","678808.5","740550.2","736396.8","669029.7","727813.2","","","",
"Faroe Islands","FRO","Total fisheries production (metric tons)","ER.FSH.PROD.MT","109375","120220","144252","137830","138990","144686","166294","173324","166187","176296","207772","207279","208162","246286","246675","285698","342013","310592","316980","266845","275286","243788","250878","330345","347352","373958","352195","391042","365943","310970","286096","246599","267528","265046","253040","296407","322171","351683","384933","400906","489222","565076","582093","683737","645463","588715","641696","651533","564940","410313","441450","415429","437035","563049","629290","666164","651735","","","",
"Micronesia, Fed. Sts.","FSM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","400","500","500","600","600","700","800","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1503","1505","1505","1720","1720","1777","1777","1777","3649","3865","3767","2974","2267","2367","12552","16740","18168","22310","8082","8808","9781","15807","12589","23460","19471","22926","33753","31972","32361","15442","20873","25445","28606","31526","37345","47853","36320","50675","68699","88397","","","",
"Gabon","GAB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","6000","6500","7000","7000","7000","8000","8000","8000","9000","9000","10000","10000","10000","12000","12000","14900","14820","14010","17800","21000","19800","20146","20605","19449","21002","20955","20226","22188","22093","20502","20002","22003","24005","31797","31043","40476","46175","44250","53912","51813","48384","42973","41653","45559","46152","43941","41647","37938","31450","29715","32822","36652","36548","36646","36900","33045","31045","","","",
"United Kingdom","GBR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1015201","953738","1003998","1007404","1034341","1115108","1138042","1101935","1115840","1162368","1172967","1204252","1169926","1213294","1172709","1065062","1125990","1079911","1115671","992599","895513","881047","915138","850643","845283","901415","860455","953345","948323","914948","821713","858108","875533","933772","969402","1011201","985986","1028751","1060640","995519","906963","939997","908023","825657","861698","843147","796532","793892","771695","787450.8","813992.8","800302.6","837084.7","835589","970397.4","916998.4","896897.2","","","",
"Georgia","GEO","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202628","148318","105181","60813","39145","18820","7641","3717","2554","2644","3097","1496","1877","1716","1863","3362","12060","10046","14821","44248","48909","50496","46519","27197","12720","12720","12740","12740","30748","","","",
"Ghana","GHA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","33800","36500","45700","59800","76600","76500","85700","99000","74100","131000","171611","232784","281331","221832","219327","261590","246820","272171","274887","237252","231855","240816","244492","251856","270013","276573","320177","382200","362477","362005","396232","362948","423855","373084","335937","353394","477294","447495","444449","495683","457077","453185","377243","391722","418601","375139","399860","332708","357074","331739","359242","364853","393494","333230","326346","390785","379937","","","",
"Gibraltar","GIB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","",
"Guinea","GIN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4000","4000","4000","4000","5000","5000","5000","6000","6000","6000","6000","8300","8300","9500","12100","13370","9920","9120","10000","18453","20000","22000","24000","26000","28003","30003","33002","35002","38001","41001","44001","49501","55005","60605","63805","67864","63364","62441","69764","87314","91513","105404","93756","121927","97732","109238","104828","82183","94683","127923","113689","122700","132483","156211","129250","126250","128250","","","",
"Gambia, The","GMB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4500","4800","5300","5300","5300","6200","6200","6200","6700","6700","7447","7739","7884","12294","12695","12695","12695","18092","14972","11143","13265","14739","9212","11653","11882","10712","13262","14642","13852","19842","21662","24985","18045","21308","22781","23699","31605","32747","29037","32643","29021","34532","37410","37371","32822","34960","37552","43599","42906","45909","46649","41533","36095","43759","51535","56003","58296","","","",
"Guinea-Bissau","GNB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","700","700","600","600","800","900","700","700","1300","1400","1500","1400","1700","1700","1700","1669","3575","4275","4283","2936","4166","3643","3977","2671","2751","3743","3700","4100","4690","5400","5400","5000","5200","5350","6000","6328","7000","7200","6700","6200","6315","6848","7324","6153","6650","6983","7067","6500","6804","6721","6584","6549","6829","6707","6700","6700","6700","","","",
"Equatorial Guinea","GNQ","Total fisheries production (metric tons)","ER.FSH.PROD.MT","900","500","800","1000","1000","600","1200","1100","3700","3500","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","2500","2500","2019","2341","4000","3600","4400","4000","4000","4000","3700","3500","3600","3507","5069","2306","5040","6090","6005","7001","3634","3600","3550","3550","3500","3750","4002","4535","5402","7672","7391","7132","10773","8515","7615","7938","8015","","","",
"Greece","GRC","Total fisheries production (metric tons)","ER.FSH.PROD.MT","87430","85390","80490","80550","84130","90320","91630","94000","100760","95150","86139","95139","93129","104576","93678","96456","107574","108571","102697","105154","107614","103525.2","106747.8","102107.4","108540.8","114961.9","124848","134743.4","123686.3","136534.5","141904","151259.9","172917.8","191678.5","214306.9","184360.5","190903.2","205816.1","170072.4","204865.8","194761.7","191708.4","184006.9","195215.4","191034.4","198638.5","211623.7","209392.8","200953.3","205192.8","191423.8","174055.6","172017.7","178171.1","164835.7","172588.4","199772","","","",
"Grenada","GRD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","300","500","900","700","1100","1300","1200","1300","1300","1400","1300","1500","1700","1700","1634","1700","1700","2958","2238","1491","1419","788","982","1479","1555","1727","2296","2214","2092","1782","1911","2071","2115","2212","1599","1499","1577","1530","1837","1829","1705","2250","2171","2544","2039","2048","2163","2207","2386","2648","2182","2322","2263","2695","2850","2707","2550","","","",
"Greenland","GRL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","34786","41895","43308","33317","38248","40643","44529","44916","34265","39245","39461","38354","41792","44297","51260","47593","44644","59865","68233","83135","103738","107487","106206","99311","86274","94949","102906","100413","120337","168786","143331","114164","113267","116775","117417","128890","116018","113851","123291","160253","159711","158485","195624","175321","212988","234864","252959","233754","241899","214667","209446","214493","222894","275432","292441","268371","273175","","","",
"Guatemala","GTM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1000","1300","2100","2500","2700","2100","3000","2500","1900","3000","3400","3300","3100","3700","3881","4530","3653","3074","5504","4898","3507","4273","4293","2388","3024","3166","2647","3077","3725","4327","7798","7344","7813","10868","11604","11928","11074","11303","13971","25868","43166","34804","31405","30042","14920","27987","33862","34365","42018","36772","45124.23","41312","37734","39133","42937.5","42546","45279","","","",
"Guam","GUM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","100","100","100","100","100","100","100","100","100","100","100","100","100","100","91","131","95","184","200","164","257","326","444","327","395","518","567","500","593","550","688","690","575","599","613","482","480","491","575","554","856","905","668","616","692","440","580","488","491","602.5","523","497","465","547","520","1422","1501","","","",
"Guyana","GUY","Total fisheries production (metric tons)","ER.FSH.PROD.MT","5700","7400","7900","9200","10400","12000","12300","13900","16000","16600","17400","15500","17600","19000","23617","20123","20956","31907","35978","35288","31530","32798","32794","35380","37256","37606","37395","36785","36523","35339","36922","40806","41337","44263","46577","48130","48833","54268","53140","54450","49492","54013","48625","60303","57327","53978","54423","48108","42460","44115.96","45675.6","43448.1","54105.18","49488.65","38113.5","36975.64","42478.7","","","",
"High income","HIC","Total fisheries production (metric tons)","ER.FSH.PROD.MT","19236505","20652164","21427858","21698677","22516883","24095715","25738836","26627158","28066219","27065225","29105634","30417588","30382854","31562653","32463331","32085599","34287184","34525585","34996219.7","35482646.7","36416788.4","37909909.989","37971013.939","39677155.725","42130478.666","42112438.426","44090303.391","43932096.63","46443864.47","46386718.811","43227901.181","42138924.14","42893466.41","42007430.418","43368563.29","42934460.219","41727702.97","41821427.3","37405196.16","38709636.01","37793679.73","37899665.54","37898004.17","36957409.7","37841643.22","36924414.12","36423898.199","36195186.294","35035894.489","34207414.399","33572446.53","33894350.031","33301865.072","32929071.732","34140251.659","33670630.876","31998676.947","","","",
"Hong Kong SAR, China","HKG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","50450","54865","59480","61000","63820","66860","64550","68129","112182","117460","136337","128074","135397","128506","142471","151186","157256","158739","162943","189932","194684","182511","181167","189282","200392","198196","213557","228102","238168","242514","234495","230912","229516","226844","219976","203570","192274","194310","186439","133832","162000","179599","174092","162301","172159","166094","158661","158661","162880","163784","172348","174158","159323","173893","164686","149087","147033","","","",
"Honduras","HND","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1700","2550","2550","2550","3400","4050","2600","4000","5700","5450","5000","5700","5750","4450","3863","5014","4643","5947","6804","8858","6636","6422","8130","11599","10052","11650","23173","28023","23424","20781","19541","31552","29670","33161","23327","32982","31555","33252","23548","31358","27968","35678","32746","40890","44605","70388","77902","71325","61240","41266","39584","61476","64634","64949","70389","65859","63700","","","",
"Heavily indebted poor countries (HIPC)","HPC","Total fisheries production (metric tons)","ER.FSH.PROD.MT","766117","795867","851267","907667","998417","1062267","1125175","1215151","1291211","1398989","1519707","1609620","1685313","1719306","1746479","1829573","1811419","1945318","1895209","1802952","1822612","1837215","1842746","1944890.1","2065918","2074060","2250485","2417468.9","2431427.2","2481532.9","2614336.2","2476016.8","2693166.3","2633623.4","2489156.1","2709253","2874725.8","2954074.2","2877200.8","3021479.55","3102659","3143919.2","3055519.5","3387896.2","3623394.2","3670539.65","3503779.7","3698716.7","3703920.75","3885637.36","4056082.3","4235364.23","4423669.76","4457941.25","4454251.8","4525249.44","4933560.7","","","",
"Croatia","HRV","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33534.08","31233.27","22422.01","20275.05","21126","20551.49","27935.08","25222.19","27944.24","29019.12","30330.54","29462.04","41089.12","46820.09","53373.13","54270.63","62940.08","70017.05","66857.81","84306.06","74829.54","87850.24","92502.23","88273.5","88116.26","","","",
"Haiti","HTI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3000","3000","3000","3100","3300","3400","3400","3500","3500","3500","4000","4000","4000","4000","4000","4000","4000","4150","4300","4500","5000","5500","6000","6502.1","6901","6400","6000","5767.9","5517.9","5517.9","5167","5216","5016","5615","5215","5514","6014","6313","6610","7010","7422","7822","8122","8322","9692","11042","12292","13672","14972","16235","14070","17130","17230","17310","17520","17730","17730","","","",
"Hungary","HUN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","14900","19300","21000","22000","22700","24800","26600","28200","29900","27800","26000","25800","28900","29100","30159","30788","31855","34661","32589","32838","33733","39319","42152","44037","39177","36927","36062","36759","38294","35517","33834","22879","22908","17378","18206","16674","15686","16740","17487","19461","19987","19694","18324","18406","19986","21270","22229","22888","23081","21191","20461","22632","21850","21390","22789","23263","21295.97","","","",
"IBRD only","IBD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","12829855","14931884","17311694","17966106","21639721","20114850","22938986","24727466","26554642","25300950","28646203","27805867","22354967","20932127","23708184","23058357","24588884","24448908","26706824.9","27685159.8","27630359.1","29020471.1","31000573.6","30677433.7","34396802.94","37466757.63","41807717.62","42500282.74","56428378.04","59046293.42","57754949.76","60192236.35","64386841.19","69219115.656","79124855.72","82705921.06","87224909.66","85911980.59","82006462.18","90719201.22","94879247.77","93880284.82","97426415.11","97210244.66","105884971.52","108697398.19","109966189.48","113177397.05","116942015.34","120953271.96","123499902.78","132460249.47","136849993.431","144357192.135","147586606.036","152948043.08","156628365.96","","","",
"IDA & IBRD total","IBT","Total fisheries production (metric tons)","ER.FSH.PROD.MT","14622225","16809571","19320938","20043793","23898667","22527780","25474771","27394108","29369983","28269056","31845169","31283701","26053804","24733787","27483995","26767875","28375689","28431921","30690146.9","31610330.8","31581598.1","33093248.1","35130471.6","35001405.939","38927131.076","42129295.74","46797025.341","47691924.01","61784461.31","64522288.41","63541945.12","65920261.41","70403246.3","75300417.806","85113361.44","89133219.82","93707642.76","92951737.42","89321250.33","98704850.16","103199394.4","102619612.58","106471668.85","106871195.48","116492712.85","119845742.78","121476548.383","124921800.82","128850176.28","133567267.97","136694233.44","146092951.43","151084834.351","158980852.845","162723100.988","168258115.445","172790694.06","","","",
"IDA total","IDA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1792370","1877687","2009244","2077687","2258946","2412930","2535785","2666642","2815341","2968106","3198966","3477834","3698837","3801660","3775811","3709518","3786805","3983013","3983322","3925171","3951239","4072777","4129898","4323972.239","4530328.136","4662538.11","4989307.721","5191641.27","5356083.27","5475994.99","5786995.36","5728025.06","6016405.11","6081302.15","5988505.72","6427298.76","6482733.1","7039756.83","7314788.15","7985648.94","8320146.63","8739327.76","9045253.74","9660950.82","10607741.33","11148344.59","11510358.903","11744403.77","11908160.94","12613996.01","13194330.66","13632701.96","14234840.92","14623660.71","15136494.952","15310072.365","16162328.1","","","",
"IDA blend","IDB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","231203","232170","257117","274980","314639","342993","394757","404502","414781","433667","477835","576487","622127","661929","621435","621639","675326","722068","782445","808292","793517","850758","879473","896030","911357","949016","1004053.4","1024860.5","1109408","1147329.3","1264412.81","1231222.48","1266014.1","1291116.71","1272076.32","1356880.36","1339008.85","1446288.13","1608940.76","1687622.79","1696147.3","1662525.2","1709422.7","1656906.4","1797009.66","1844737","2016434.943","1936644.59","2068394.54","2109236.09","2213525.3","2309800.8","2400965.2","2508926","2697752.5","2606516.05","2737473.04","","","",
"Indonesia","IDN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","761700","914800","947200","939200","1004000","1074800","1241600","1198400","1180000","1234800","1257200","1273302","1296804","1294441","1361942","1376566","1486511","1587817","1668158","1770087","1877956","1946989","2026589","2248468","2313091","2452695","2607764","2742804","2947009","3087137","3243345","3413930","3627251","3919996","4144434","4388520","4648537","4695769","4760318","4893861","5152262","5412689","5541952","5927292","6208250","6827210","7277661","8179552","8857709","9828603","11700000","13700000","15500000","19400000","20900000","22400000","23200000","","","",
"IDA only","IDX","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1561167","1645517","1752127","1802707","1944307","2069937","2141028","2262140","2400560","2534439","2721131","2901347","3076710","3139731","3154376","3087879","3111479","3260945","3200877","3116879","3157722","3222019","3250425","3427942.239","3618971.136","3713522.11","3985254.321","4166780.77","4246675.27","4328665.69","4522582.55","4496802.58","4750391.01","4790185.44","4716429.4","5070418.4","5143724.25","5593468.7","5705847.39","6298026.15","6623999.33","7076802.56","7335831.04","8004044.42","8810731.67","9303607.59","9493923.96","9807759.18","9839766.4","10504759.92","10980805.36","11322901.16","11833875.72","12114734.71","12438742.452","12703556.315","13424855.06","","","",
"Isle of Man","IMN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4900","4900","4500","4000","3600","5100","4600","6000","7200","9800","14700","16900","18000","15500","14791","14505","11242","11844","10504","12407","10106","8642","6298","8322","7668","6974","5778","5561","5624","5696","4085","4562","4481","4850","3571","3734","3537","4289","2214","2609","3552","3112","3127","2984","2627","2764","2579","3812","2770","3555","4814","6844","6172","5745","3755","7781","7040","","","",
"India","IND","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1161400","961000","973900","1045800","1321600","1331300","1367200","1400400","1525600","1605000","1758500","1853000","1639100","1960700","2256991","2267192","2177096","2314703","2309709","2343292","2445337","2448342","2369320","2508599","2874519","2839348","3007533","2994385","3200962","3718189","3879722","4132494","4324546","4566914","4867135","5016547","5301693","5485270","5381977","5686963","5668958","5937726","5973298","6074846","6230871","6698488","7060154","7005055","7984490","7893598","8505837","8013716","9109609","9222391","9893980","10100000","10800000","","","",
"Not classified","INX","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","42800","32100","29000","27600","31900","35700","39700","50200","53100","66500","78901","74106","92112","90814","89591","88423","95038","93876","104306","93244","150030","191240","212936","204166","240149","260791","261619","282460","292151","240639","275047","293259","307033","338662","355986","450925","400368","364899","402990","363241","363639","453468","381288","363734","368929","357231","294399","301472","279686.5","346095.7","394932.3","287720.3","341528","310148.2","337624.2","304023","300089.4","","","",
"Iran, Islamic Rep.","IRN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","20015","20015","20015","18015","18013","20014","21114","22515","24019","24016","26066","24369","19643","20260","69949","68317","72713","73545","72105","72453","52922","55805","106174","112033","117923","120626","154311","215620","235192","260383","269076","275730","327513","343887","333999","368297","381702","400267","400534","411997","424541","413692","401655","441837","474320","522328","575347","561316","562568","599924","663684","735076","838651","884487","947354","983897","1093536","","","",
"Iraq","IRQ","Total fisheries production (metric tons)","ER.FSH.PROD.MT","9000","9000","9000","11300","19200","16800","14100","10200","19100","22002","32100","27200","32000","27700","24246","21832","28283","26101","26100","55228","53245","26219","24000","22500","21000","21441","20564","21250","26461","24555","24229","15235","22823","23941","29247","30808","33237","34702","30074","24606","22512","35300","28000","19200","26883","43949","73942","68842","53826","46977","39668","47831","76117","70913","85625","52099","56835","","","",
"Iceland","ISL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","629985","734064","847335","797444","989173","1217833","1260336","915201","617356","707209","748800","699881","741506","922000","954849","1001793","1015145","1393447","1579042","1661125","1524817","1449906","801799","855132","1551774","1695553","1668788","1644922","1772660","1518543","1524183","1058740","1585735","1729801","1574166","1627874","2078266","2229112","1703589","1758305","2003669","2008312","2153093","2014872","1764040","1694009","1356284","1425880","1311691","1169597","1086705","1159508","1384106","1390896","1103650","1344330","1100305","","","",
"Israel","ISR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","14671","15954","17385","18282","19512","20573","25426","24537","28927","23280","28216","32339","34831","32578","28394","30192","31155","31865","32807","30259","27982","27677","26307","23206","24444","27103","25146","28558","28248","26468","23567","20675","17671","18729","19045","21121","22782","23468","24856","24661","25916","26342","27299","24831","25643","26560","25937","24869","22725","21889","22507","23392","23566.4","24234.6","22208","21718","20672","","","",
"Italy","ITA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","216754","245206","223613","234953","327089","356354","372164","375547","366613","372627","417749","426440","439063","424389","468486","450191","471500","423787","451257.4","482593.4","504905.5","513736.1","536817.7","543955.5","580930.7","586603.2","564362.4","554302.7","570639.4","548778.3","530676.2","586520.2","566844.5","563862.4","575759.8","612607.1","557127.5","541368.6","517109.7","495190.3","520681.8","530738.7","456187.1","489584.8","407156.8","479685.1","490645.7","468888.5","386622.3","416951.5","388453.2","381980.4","339471.4","318794.7","332576.3","347531.5","355238.5","","","",
