"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burundi","BDI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","9200","5300","7200","10600","9700","20200","16600","12300","15000","15600","13300","16900","7500","8500","10982","14547","20333","18900","15682","11250","14767","11880","12131","11366","11363","11371","11861","12034","11701","10787","17425","21044","24123","17050","22050","21151","3091","20346","13476","9249","17365","9014","11050","14747","13905","13450","13028","11359","18315","12665","17322.3","10715.7","12469.4","13397","16219","21446","23135","","","",
"Belgium","BEL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","63700","61600","59900","62000","59500","59700","62800","63800","68200","58700","53000","60200","59000","53300","46820","49031","44503","45372","50597","47157","45705","49426","48044","48835","48181","45555","39996","40831","42241","40368","42135","40737","37966","36935","35100","36445","31769","31346","31681","31473","31671","32039","30862","28092","27474","24981","23147","24669","22735","22298","22957","22578","24936","25874","27007","24803","27014","","","",
"Benin","BEN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","26000","28000","30000","25000","26000","20000","18800","35600","35900","36600","43110","43404","43202","40673","39402","37533","37104","36528","35879","35700","37832","37768","37521","34628","35290","36371","38753","41903","37346","41860","38234","35083","32488","39221","39923","44379","42175","43785","42139","40437","32324","38415","40670","41655","39995","31847","41922","36564","37708","39236","40155","39248","40864","43083","48997","37747","52886","","","",
"Burkina Faso","BFA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2000","2500","2500","3000","3500","3500","4000","4500","4500","4500","5000","5000","4000","5000","5000","5000","6000","6000","7000","7000","6500","7500","7000","7214","7374","7433","7630","7826","7907","8006","7006","7005","7505","7000","8000","8000","8030","8045","8375","7625","8505","8505","8505","9005","9005","9065","9750","10548","11568","12075","14800","15305","20602","20820","21000","21030","22540","","","",
"Bangladesh","BGD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","400570","450640","500720","500810","550910","601030","601150","601300","651460","651650","690100","740100","818100","820200","822082","640070","641605","643769","646895","647128","646970","651256","689498","726587","750196","766081","793191","805285","830593","839944","846144","900720","936195","1002567","1034980","1109462","1193874","1315290","1413953","1552417","1661384","1781057","1890459","1998197","2102026","2215957","2328545","2440011","2563296","2885864","3035101","3124677","3261781","3410254","3548115","3684245","3878324","","","",
"Bulgaria","BGR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8700","8100","9600","7500","13700","21183","27375","44881","61484","84473","94201","100704","111017","102010","118559","158121","167144","137997","99028","86107","125187","106673","115618","121126","115567","100223","109452","111652","118018","102966","57103","57854","32148","21555","12685","12627","13581","16674","23198","18336","12317","11612","17316","16500","10741","8579","10801","12935","14021","15700.54","18689.62","15150.18","15556.06","21821.65","19859.8","22365.55","24376.16","","","",
"Bahrain","BHR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1500","1500","1500","1800","1800","2000","2500","2800","3000","3300","3500","3600","3700","3800","3900","4000","4084","4837","4000","3801","5115","5747","5594","4812","5599","7763","8057","7842","6736","9207","8105","7553","7983","8958","7628","9393","12943","10050","9850","10623","11730","11230","11207","13642","14497","11858","15595","15014","14178","16358","13493.19","9918.424","27092.72","14976","15859.71","15006","15006","","","",
"Bahamas, The","BHS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1600","1500","1600","1700","1900","2950","3800","2950","2750","2350","2750","2950","3300","4400","4663","4693","4750","5327","5114","5765","7119","7631.789","7737.039","8548.154","8440.066","11206.82","8695.899","10557.03","10515.67","9857.611","9758.181","11895.54","12215.53","13703.94","14931.02","13269.48","14100.14","14720.59","14578.68","13668","15529","13684","15700","16776","15194","15640","16294","10942","14833","13826.83","16342.44","15313","16756.83","12765","11886.57","11315.62","11633","","","",
"Bosnia and Herzegovina","BIH","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201","201","201","201","252","253","254","255","255","255","4940","6890","6699","7375","7926","7747","7894","7925","7925","5275.2","3943.3","3228.5","3702","4755.6","4868.6","","","",
"Belarus","BLR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19000","21457","19626","15543","9922","10011","7721","6178","6859","4821","5184","5804","7269","5610","7543","6196","4733","6242","9051","14780","15445","16485","17162","17415","16464","14245","11424","9999.9","11885","","","",
